@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, positive
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, positive
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, positive
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, positive
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, positive
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, positive
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, positive
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, positive
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, positive
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, positive
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, positive
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, positive
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, positive
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, negative
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, negative
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, negative
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, negative
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, negative
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, negative
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, negative
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, negative
