@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 8, 40, 1.6, 0.55, 1.0, 2.44, 22, 40, 9, negative
5, 6, 30, 1.2, 0.433, 0.733, 13.0, 13, 22, 1, negative
4, 18, 72, 4.5, 0.25, 0.528, 2.57, 18, 38, 7, negative
6, 7, 42, 1.167, 0.357, 0.548, 7.5, 15, 23, 2, negative
7, 103, 721, 14.714, 0.295, 0.691, 1.76, 213, 498, 121, negative
2, 101, 202, 50.5, 0.54, 0.743, 10.9, 109, 150, 10, positive
9, 21, 189, 2.333, 0.429, 0.772, 3.0, 81, 146, 27, negative
10, 53, 530, 5.3, 0.294, 0.819, 1.79, 156, 434, 87, negative
9, 84, 756, 9.333, 0.222, 0.937, 1.81, 168, 708, 93, negative
9, 41, 369, 4.556, 0.298, 0.775, 1.9, 110, 286, 58, negative
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, positive
3, 113, 339, 37.667, 0.357, 0.378, 30.25, 121, 128, 4, positive
11, 65, 715, 5.909, 0.39, 0.877, 2.61, 279, 627, 107, negative
9, 32, 288, 3.556, 0.302, 0.781, 2.07, 87, 225, 42, negative
11, 119, 1309, 10.818, 0.261, 0.798, 1.88, 341, 1045, 181, negative
8, 48, 384, 6.0, 0.302, 0.914, 1.76, 116, 351, 66, negative
2, 18, 36, 9.0, 0.722, 0.722, 26.0, 26, 26, 1, positive
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, negative
9, 55, 495, 6.111, 0.299, 1.0, 1.92, 148, 495, 77, negative
7, 14, 98, 2.0, 0.184, 0.612, 18.0, 18, 60, 1, negative
8, 48, 384, 6.0, 0.31, 0.807, 1.92, 119, 310, 62, negative
6, 27, 162, 4.5, 0.136, 0.673, 2.0, 22, 109, 11, negative
4, 47, 188, 11.75, 0.298, 0.739, 2.33, 56, 139, 24, negative
19, 123, 2337, 6.474, 0.089, 0.089, 207.0, 207, 208, 1, negative
9, 32, 288, 3.556, 0.365, 0.781, 2.23, 105, 225, 47, negative
7, 27, 189, 3.857, 0.101, 0.619, 3.8, 19, 117, 5, negative
11, 96, 1056, 8.727, 0.331, 0.954, 4.32, 350, 1007, 81, negative
48, 402, 19296, 8.375, 0.055, 0.094, 4.13, 1058, 1814, 256, positive
10, 20, 200, 2.0, 0.435, 0.89, 2.9, 87, 178, 30, negative
9, 120, 1080, 13.333, 0.331, 0.859, 1.98, 358, 928, 181, negative
6, 29, 174, 4.833, 0.293, 0.92, 1.5, 51, 160, 34, negative
5, 46, 230, 9.2, 0.278, 0.835, 2.21, 64, 192, 29, negative
7, 27, 189, 3.857, 0.238, 0.741, 2.81, 45, 140, 16, negative
10, 122, 1220, 12.2, 0.273, 0.54, 2.03, 333, 659, 164, negative
9, 21, 189, 2.333, 0.529, 0.958, 3.33, 100, 181, 30, negative
10, 80, 800, 8.0, 0.314, 0.799, 2.06, 251, 639, 122, negative
22, 47, 1034, 2.136, 0.319, 0.753, 2.13, 330, 779, 155, negative
11, 86, 946, 7.818, 0.283, 0.764, 1.91, 268, 723, 140, negative
10, 64, 640, 6.4, 0.514, 0.966, 2.84, 329, 618, 116, negative
1, 40, 40, 40.0, 1.0, 1.0, 40.0, 40, 40, 1, positive
9, 41, 369, 4.556, 0.444, 0.976, 2.88, 164, 360, 57, negative
9, 82, 738, 9.111, 0.428, 0.936, 2.38, 316, 691, 133, negative
10, 85, 850, 8.5, 0.324, 0.675, 2.25, 275, 574, 122, negative
1, 77, 77, 77.0, 0.403, 1.0, 5.17, 31, 77, 6, positive
1, 35, 35, 35.0, 0.829, 1.0, 9.67, 29, 35, 3, positive
